"Brand","model","size","shape","ground_type","max_diameter_in","overall_length_in","overall_width_in","mat_diameter_in","mat_length_in","mat_width_in","mat_frame_height_in","safety_net_height_in","total_height_in","frame_tube_diameter_in","spring_system","spring_count","spring_length_in","max_single_user_weight_lb","combined_total_weight_rating_lb","static_weight_rating_lb","country_made_in","frame_material","mat_material","net_material","padding_material","warranty_frame_years","warranty_mat_years","warranty_springs_years","warranty_net_years","warranty_pads_years","warranty_parts_years","meets_us_standard","us_standard_details","other_standards","price_usd","price_basis","source_urls","notes","notes.1"
"Skywalker","10' Round Trampoline","10ft","Round","above ground","120","120","120","","","","","","109.2","","","","","175","","","","Galvanized steel","","","","3","1","1","1","","1","Yes","ASTM","","249","Exact size price","https://www.skywalkertrampolines.com/products/10ft-round-kids-trampoline","Official product page states 175 lb recommended user weight, 3yr frame/1yr all other materials, dims 9.1 ft H x 10 ft W.",""
"Skywalker","12' Round Trampoline","12ft","Round","above ground","144","144","144","","","","","","","","","72","6.5","250","","1000","","Galvanized steel","","","","3","1","1","1","","1","Yes","ASTM","","297.99","Exact size price","https://www.skywalkertrampolines.com/products/12ft-round-kids-trampoline","Product page states 1,000 lb max tested weight and 250 lb ASTM max user weight.",""
"Skywalker","13' Square Trampoline with Lighted Spring Pad - Navy","13x13ft","Square","above ground","156","156","156","","","","","","","","","","","","","","","Galvanized steel","","","","3","1","1","1","","1","Yes","ASTM","","445","Exact size price","https://www.skywalkertrampolines.com/products/13ft-square-trampoline-with-lighted-spring-pad","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Skywalker","14' Round Epic Series Trampoline","14ft","Round","above ground","168","168","168","","","","","","","","","","","400","1600","","","Galvanized steel","","","","","","","","","","Yes","ASTM","","569.99","Exact size price","https://www.skywalkertrampolines.com/products/skywalker-trampolines-14ft-round-epic-series-trampoline","Epic Series: 108 springs, 400 lb ASTM single user weight, tested to 4x (1600 lb). Source: Skywalker blog 'Introducing the New Epic Series'.",""
"Skywalker","14' Square Trampoline - Blue","14x14ft","Square","above ground","168","168","168","","","","","","","","","","","250","1000","","","Galvanized steel","","","","3","1","1","1","","1","Yes","ASTM","","519.99","Exact size price","https://www.skywalkertrampolines.com/products/14ft-square-trampoline-blue","Official product page: 1000 lb capacity (250 ASTM); 3yr frame/1yr all other materials.",""
"Skywalker","15' Premium Square Trampoline with Enclosure Net","15x15ft","Square","above ground","180","180","180","","","","","","121.2","","","92","","600","","2400","","USA-made galvanized steel","","","","10","2","10","2","2","2","Yes","ASTM","","2400","Exact size price","https://www.skywalkertrampolines.com/products/skywalker-trampolines-15-square-premium-trampoline-with-enclosure-net","Product page states 2,400 lb weight capacity and 600 lb recommended individual weight.",""
"Skywalker","15' Round Trampoline","15ft","Round","above ground","180","180","180","","","","","","108","","","","","275","1100","","","Galvanized steel (powder-coated)","","","","7","3","3","3","","1","Yes","ASTM","","390","Exact size price","https://www.skywalkertrampolines.com/products/15ft-round-kids-trampoline","Matches Signature Series 15' Round listing: 275 ASTM / 1100 lb capacity, 7yr frame / 3yr mat/springs/poles / 1yr other, dims 9 ft H x 15 ft W.",""
"Skywalker","15' Round Trampoline - Navy","15ft","Round","above ground","180","180","180","","","","","","","","","","","275","1100","","","Galvanized steel","","","","3","1","1","1","","1","Yes","ASTM","","359","Exact size price","https://www.skywalkertrampolines.com/products/15ft-round-trampoline-with-enclosure-navy","Classic 15' Round: 275 ASTM / 1100 lb capacity, 3yr frame / 1yr all other materials.",""
"Skywalker","15' Square Trampoline - Blue","15x15ft","Square","above ground","180","180","180","","","","","","111.6","","","96","","250","1000","","","Galvanized steel","","","","3","1","1","1","","1","Yes","ASTM","","699.99","Exact size price","https://www.skywalkertrampolines.com/products/15ft-square-trampoline-blue","Official product page: 1000 lb capacity (250 ASTM), 96 springs, dims 9.3 ft H x 15 ft W; 3yr frame/1yr all other materials.",""
"Skywalker","16' Round Epic Series Trampoline","16ft","Round","above ground","192","192","192","","","","","","","","","108","","400","1600","","","Galvanized steel (black powder-coat)","","","","","","","","","","Yes","ASTM","","819.99","Exact size price","https://www.skywalkertrampolines.com/products/16ft-round-epic-series-trampoline","Epic Series: 108 springs (vs typical 96), 12 flex rods, 400 lb ASTM single user weight (tested to 4x = 1600 lb). Source: Skywalker blog.",""
"Skywalker","16' Round Outdoor Trampoline with Safety Enclosure - Made in USA","16ft","Round","above ground","192","192","192","","","","","","109.2","","","","","275","1100","","","USA-made galvanized steel","","","","3","1","1","1","1","1","Yes","ASTM","","799","Exact size price","https://www.skywalkertrampolines.com/products/skywalker-trampolines-16ft-round-outdoor-trampoline-with-safety-enclosure-astm-approved","Official product page: 1100 lb capacity (275 ASTM), dims 9.1 ft H x 16 ft W (existing total_height 109.2 in matches); USA-made galvanized steel frame. 3yr frame/1yr other.",""
"Skywalker","17' Oval Trampoline","17ft","Oval","above ground","204","","","","","","","","","","","","","200","800","","","Galvanized steel","","","","","","","","","","Yes","ASTM","","430","Model family from price","https://www.skywalkertrampolines.com/products/17-oval-with-enclosure-net-and-triple-toss-game","Official product page: 800 lb capacity (200 ASTM); assembled dims not stated in available snippet.",""
"Skywalker","17' x 10' Rectangle Olympic-Sized Premium Trampoline with Enclosure","17x10ft","Rectangle","above ground","204","204","120","","","","","","129.6","","","","","625","","","","USA-made galvanized steel","","","","10","2","10","2","2","2","Yes","ASTM","","1599","Exact size price","https://www.skywalkertrampolines.com/products/17ft-rectangle-olympic-sized-trampoline-usa-made","Official product page: 625 lb recommended user weight; USA-made galvanized steel frame; 10yr frame/springs, 2yr all other. Existing total_height 129.6 in consistent with official dims.",""
"Skywalker","36"" Round Hopper Mini Trampoline","36in","Round","above ground","36","36","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","Exact size price","https://www.skywalkertrampolines.com/products/36in-round-hopper-mini-kids-trampoline","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Skywalker","40"" Round Safari Explorer Mini Trampoline with Enclosure","40in","Round","above ground","40","40","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.99","Exact size price","https://www.skywalkertrampolines.com/products/40in-round-safari-explorer-mini-trampoline","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Skywalker","60"" Round Seaside Adventure Mini Trampoline with Enclosure","60in","Round","above ground","60","60","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","Exact size price","https://www.skywalkertrampolines.com/products/60in-round-seaside-adventure-mini-trampoline","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Skywalker","8' Round Trampoline - Blue","8ft","Round","above ground","96","96","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","182","Model family from price","https://www.skywalkertrampolines.com/products/8ft-round-trampoline-blue","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Skywalker","Disney Eeyore Rectangle Bouncer Mini Trampoline with Enclosure","6x4ft","Rectangle","above ground","72","72","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","161.49","Model family from price","https://www.skywalkertrampolines.com/products/skywalker-trampolines-6ft-x-4ft-rectangle-eeyore-mini-trampoline-for-kids","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Skywalker","Disney Winnie the Pooh Rectangle Bouncer Mini Trampoline with Enclosure","6x4ft","Rectangle","above ground","72","72","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.99","Model family from price","https://www.skywalkertrampolines.com/products/skywalker-trampolines-6ft-x-4ft-rectangle-winnie-the-pooh-mini-trampoline-for-kids","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Skywalker","Safari Explorer Mini Round Trampoline with Enclosure","40in","Round","above ground","40","40","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.99","Model family from price","https://www.skywalkertrampolines.com/products/40in-round-safari-explorer-mini-trampoline","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Little Tikes","10ft. Sport Trampoline™","10ft","Round","above ground","120","120","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","479.99","Exact size price","https://www.littletikes.com/products/little-tikes-10ft-sports-trampoline%E2%84%A2","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Little Tikes","3-Foot Trampoline","3ft","Round","above ground","36","36","36","","","","","","","","","","","55","","","","","","","","","","","","","","","","","79.99","Exact size price","https://www.littletikes.com/products/little-tikes-3-foot-trampoline","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Little Tikes","7ft. Trampoline with Safety Net Enclosure","7ft","Round","above ground","84","84","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","311.99","Exact size price","https://www.littletikes.com/products/little-tikes-7ft-trampoline","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Little Tikes","Climb 'n Slide 7ft Trampoline™","7ft","Round","above ground","84","84","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","395.99","Exact size price","https://www.littletikes.com/products/climb-n-slide-7ft-trampoline-1","Built from current official US consumer product pages or official collection pages only; blanks mean I did not find a clear official value.",""
"Little Tikes","Easy Store™ 3ft Trampoline","3ft","Round","above ground","36","36","36","","","","","","33.5","","","","","55","","","","","","","","","","","","","","","","","92.99","Exact size price","https://www.littletikes.com/products/easy-store-3ft-trampoline","Official page gives overall dimensions 36 x 36 x 33.5 in and 55 lb max weight.",""
